 ,Test Scenario ,TC_ID, Test Case,Prequisites,Test Steps,Test Data,Expected Result,Actual Result,Priority,Result,Comments
TS_003,Verify that the search results display relevant data when valid keywords are entered.,TC_011,To verify that relevant search results are displayed for a valid keyword.," 1. click on link: https://tutorialsninja.com/demo 
2. Open the website.

3. The search index is updated with valid test data.","1. Find the search bar.

2. Enter test data in the search field.

3. Click search button or press enter key.

4.Observe relevant result is displaying.","""macbook""",The search should return results related to test data.,The search returns results related to test data.,P0,PASS,
,,TC_012,To verify that the search supports partial keywords," 1. click on link: https://tutorialsninja.com/demo 
2. Open the website.

","1. Find the search bar.

2. Enter test data in the search field.

3. Click on the enter button.","""mac""","The results should include relevant items like ""macbook, macbook air, macbook pro, etc.",The search returns results related to test data,P0,PASS,
,,TC_013,To verify that the search is case-insensitive," 1. click on link: https://tutorialsninja.com/demo 
2. Open the website.

3. The search bar accepts text in the input field","1. Go to the search bar.

2. Enter the first small case test data.

3. Observe the result.

4. Enter the capital case test data.

5. Observe the result same.","1. ""macbook""

2. ""MACBOOK""",Both searches should return identical results.,Both searches return the same result.,P0,PASS,
,,TC_014,To verify that text with numeric values return relevant results," 1. click on link: https://tutorialsninja.com/demo 
2. Open the website.

3. The search bar accepts text in the input field","1. Go to the search bar.

2. Enter test data in the search input field.

3. Observe the result.","""apple cinema 30""",The search result returns the relevant output,The search returns the relevant result,P0,PASS,
,,TC_015,To verify that the search results do not display irrelevant data," 1. click on link: https://tutorialsninja.com/demo 
2. Open the website.

3. The search bar accepts text in the input field","1. Find the search bar in the header.

2. Enter text from test data in the input field.

3. check if non-related items appear.","""laptop""",Irrelevant results should not be displayed.,Irrelevant results are not displayed.,P0,PASS,
TS_004,"Verify that an appropriate message is displayed for invalid or non-existent searches. (""No results found"").",TC_016,To verify that an appropriate message is displayed for a valid but non-existent keyword.," 1. click on link: https://tutorialsninja.com/demo 
2. Open the website.

3. The search bar accepts text in the input field","1. Find the search bar in the header.

2. Enter text from the test data.

3. Press the enter key.

4. Observe the displayed message","""vivo mobile""",The product should not match the search criteria.,There is no product that match the search result.,P0,PASS,
,,TC_017,"To verify that ""No results found"" is displayed for a completely random search."," 1. click on link: https://tutorialsninja.com/demo 
2. Open the website.

3. The search bar accepts text in the input field","1. Find the search bar in the header.

2. Enter text from the test data.

3. Press the enter key.

4. Observe the displayed message","""sdfghjkllkjhgfds""","The ""No results found"" message should be displayed.",There is no product that match the search result.,P0,PASS,
,,TC_018,"To verify that ""No results found"" is displayed when searching for an item with special characters."," 1. click on link: https://tutorialsninja.com/demo 
2. Open the website.

3. The search bar accepts text in the input field","1. Find the search bar in the header.

2. Enter text from the test data.

3. Press the enter key.

4. Observe the displayed message","""@#$%^""","The ""No results found"" message should be displayed.",There is no product that match the search result.,P1,PASS,
,,TC_019,To verify that an invalid search does not cayse performance issues or crashes.," 1. click on link: https://tutorialsninja.com/demo 
2. Open the website.

3. The search bar accepts text in the input field","1. Find the search bar in the header.

2. Enter text from the test data.

3. Press the enter key.

4. Observe the displayed message","""macbook@#$1234""",The system should not crash or slow down.,The system does not crash or slow down and show there is no product that match the search result.,P0,PASS,
,,TC_020,"To verify that ""No results found"" message is displayed on different devices (mobile, tablet, desktop)."," 1. click on link: https://tutorialsninja.com/demo 
2. Open the website.

3. The search bar accepts text in the input field","1. Perform a valid search on different devices that do not exit the website. (like mobile, tablet, desktop).","""vivo mobile""",The message should be properly displayed on all screen sizes or devices.,There is no product that match the search result.,P1,PASS,
TS_005,"Verify that the search supports case-insensitive queries (like ""laptop"" and ""LAPTOP"")",TC_021,To verify that the search with lowercase returns correct results.," 1. click on link: https://tutorialsninja.com/demo 
2. Open the website.

3. The search bar is enabled","1. Find the search bar in the header.

2. Enter text from the test data.

3. Press the enter key.

","""macbook""",The relevant results should be displayed.,The relevant results are displayed.,P0,PASS,
,,TC_022,To verify that searching with uppercase returns the same results as lowercase.," 1. click on link: https://tutorialsninja.com/demo 
2. Open the website.

3. The search bar is enabled","1. Find the search bar in the header.

2. Enter text from the test data.

3. Press the enter key.

","""MACBOOK""","The same result should be displayed as for ""macbook""","The same result is displayed as for ""macbook""",P0,PASS,
,,TC_023,To verify that searching with mixed-case letters returns the same results.," 1. click on link: https://tutorialsninja.com/demo 
2. Open the website.

3. The search bar is enabled","1. Find the search bar in the header.

2. Enter text from the test data.

3. Press the enter key.

","""MacBook""","The same result should be displayed as for ""macbook""","The same result is displayed as for ""macbook""",P0,PASS,
,,TC_024,To verify that searching with a combination of upper and lowercase letters in a multi-word query works correctly.," 1. click on link: https://tutorialsninja.com/demo 
2. Open the website.

3. The search bar is enabled","1. Find the search bar in the header.

2. Enter text from the test data.

3. Press the enter key.

","""MACBOOK pro""","The same result should be displayed as for ""macbook pro""","The same result is displayed as for ""macbook pro""",P1,PASS,
,,TC_025,"To verify that case insensitivity applies to product names, categories, and description."," 1. click on link: https://tutorialsninja.com/demo 
2. Open the website.

3. The search bar is enabled","1. Find the search bar in the header.

2. Enter text from the test data.

3. Press the enter key.

4. compare resutls.","""PHONE""

""Phone""","The same result should be displayed as for ""phone""", Results should be identical.,P0,PASS,
TS_006,Verify the search behavior when entering partial keywords.,TC_026,To verify that entering the first few characters of a keyword displays relevant suggestions.," 1. click on link: https://tutorialsninja.com/demo 
2. Open the website.

3. The search bar is enabled","1. Find the search bar in the header.

2. Enter text from the test data.

3. Press the enter key.

4. Observe autocomplete suggestions.","""mac""","Suggestions should include relevant results like ""macbook"", ""mackbook pro"", etc",suggestions are not provided.,P0,FAIL,
,,TC_027,To verify that partial keyword searches return all matching results.," 1. click on link: https://tutorialsninja.com/demo 
2. Open the website.

3. The search bar is enabled","1. Find the search bar in the header.

2. Enter text from the test data.

3. Press the enter key.
","""mac""","The results should include all items containing ""mac"", like ""macbook"", "" macbook pro"", etc.","The search displays all results as ""mackbook""",P0,PASS,
,,TC_028,To verify that entering a partial keyword at the end of a word still returns relevant results.," 1. click on link: https://tutorialsninja.com/demo 
2. Open the website.

3. The search bar is enabled","1. Find the search bar in the header.

2. Enter text from the test data.

3. Press the enter key.
","""book""","The results should contain include ""macbook"", etc.","The result contains include ""macbook"", etc.",P1,PASS,
,,TC_029,To Verify that searching for a partial keyword in the middle of a word still returns relevant results.," 1. click on link: https://tutorialsninja.com/demo 
2. Open the website.

3. The search bar is enabled","1. Find the search bar in the header.

2. Enter text from the test data.

3. Press the enter key.
","""cboo""","The results should contain include ""macbook"", etc.","The result contains include ""macbook"", etc.",P1,PASS,
,,TC_030,To Verify that partial keyword searches work for multi-word queries.," 1. click on link: https://tutorialsninja.com/demo 
2. Open the website.

3. The search bar is enabled","1. Find the search bar in the header.

2. Enter text from the test data.

3. Press the enter key.
","""canon eo""","The results should contain include ""canon eos 5d"", etc.","The result contains include ""macbook"", etc.",P0,PASS,
TS_007,Verify the search functionality on different browsers,TC_031,To verify that the search functionality works correctly on Google Chrome.," 1. click on link: https://tutorialsninja.com/demo 
2. Open the website on google chrome.","1. Open the website in Chrome.

2. Enter text from test data in the search bar
.
3. Press Enter.","""macbook""",The relevant search results should be displayed.,The relevant results are displayed.,P0,PASS,
,,TC_032,To verify that the search functionality works correctly on Mozilla Firefox.," 1. click on link: https://tutorialsninja.com/demo 
2. Open the website on Mozilla Firefox.","1. Open the website in Chrome.

2. Enter text from test data in the search bar
.
3. Press Enter.","""macbook""",The relevant search results should be displayed.,The relevant results are displayed.,P0,PASS,
,,TC_033,To verify that the search functionality works correctly on Microsoft Edge.," 1. click on link: https://tutorialsninja.com/demo 
2. Open the website on Microsoft Edge.","1. Open the website in Chrome.

2. Enter text from test data in the search bar
.
3. Press Enter.","""macbook""",The relevant search results should be displayed.,The relevant results are displayed.,P0,PASS,
,,TC_034,"To Verify that the search functionality works correctly on mobile browsers (like chrome, etc.)"," 1. click on link: https://tutorialsninja.com/demo 
2. Open the website on mobile browser. (like chrome).","1. Open the website in Chrome.

2. Enter text from test data in the search bar
.
3. Press Enter.","""macbook""",The relevant search results should be displayed.,The relevant results are displayed.,P0,PASS,
,, ,,,,,,,,,
,, ,,,,,,,,,
,, ,,,,,,,,,
,, ,,,,,,,,,
,, ,,,,,,,,,
,, ,,,,,,,,,
